CustomerID,Cluster
C0001,4
C0002,2
C0003,1
C0004,0
C0005,6
C0006,3
C0007,1
C0008,0
C0009,2
C0010,2
C0011,4
C0012,0
C0013,0
C0014,5
C0015,6
C0016,3
C0017,0
C0018,3
C0019,2
C0020,5
C0021,0
C0022,3
C0023,3
C0024,7
C0025,1
C0026,3
C0027,4
C0028,0
C0029,2
C0030,4
C0031,2
C0032,2
C0033,5
C0034,7
C0035,4
C0036,6
C0037,3
C0038,4
C0039,7
C0040,3
C0041,0
C0042,4
C0043,1
C0044,3
C0045,3
C0046,0
C0047,7
C0048,4
C0049,7
C0050,6
C0051,0
C0052,4
C0053,3
C0054,0
C0055,7
C0056,4
C0057,4
C0058,5
C0059,0
C0060,5
C0061,6
C0062,1
C0063,6
C0064,4
C0065,0
C0066,3
C0067,7
C0068,0
C0069,4
C0070,4
C0071,1
C0072,4
C0073,1
C0074,3
C0075,0
C0076,2
C0077,2
C0078,5
C0079,3
C0080,5
C0081,4
C0082,3
C0083,2
C0084,0
C0085,6
C0086,2
C0087,3
C0088,7
C0089,6
C0090,7
C0091,7
C0092,4
C0093,0
C0094,2
C0095,6
C0096,3
C0097,5
C0098,7
C0099,0
C0100,3
C0101,0
C0102,0
C0103,7
C0104,0
C0105,3
C0106,7
C0107,4
C0108,7
C0109,0
C0110,5
C0111,4
C0112,1
C0113,0
C0114,3
C0115,6
C0116,7
C0117,3
C0118,4
C0119,2
C0120,1
C0121,2
C0122,0
C0123,1
C0124,7
C0125,1
C0126,4
C0127,7
C0128,1
C0129,1
C0130,5
C0131,6
C0132,1
C0133,6
C0134,4
C0135,4
C0136,4
C0137,4
C0138,3
C0139,7
C0140,1
C0141,0
C0142,4
C0143,0
C0144,1
C0145,0
C0146,4
C0147,7
C0148,3
C0149,3
C0150,5
C0151,5
C0152,4
C0153,3
C0154,7
C0155,0
C0156,0
C0157,2
C0158,3
C0159,6
C0160,7
C0161,7
C0162,0
C0163,3
C0164,4
C0165,0
C0166,1
C0167,1
C0168,3
C0169,4
C0170,3
C0171,3
C0172,2
C0173,0
C0174,4
C0175,0
C0176,1
C0177,1
C0178,4
C0179,7
C0181,7
C0182,3
C0183,4
C0184,7
C0185,3
C0186,1
C0187,3
C0188,0
C0189,4
C0190,4
C0191,4
C0192,1
C0193,1
C0194,7
C0195,7
C0196,3
C0197,6
C0198,1
C0199,1
C0200,3
